komentar,label,label_prediksi
tiap habis update selalu server down mending ga usah update siih rusak lama apk,negatif,negatif
bagus banget,positif,positif
apk cocok wibu gratis karna guna kunci cara dapat kan mudah tinggal tonton iklan menit doang udah nonton anime hampir satu jam kalo kata kurang cari bahasa jepang,positif,positif
aplikasi sangat bagus semua anime sedia sini terus nonton nyaman nyantai kualitas gratis pake kunci malesnya mah gak apa kalo premium bebas puas tonnton,positif,positif
mantap,positif,positif
sekarang jadi gak masuk kata root padahal gak aneh,negatif,negatif
iklan terlalu lama menit,positif,negatif
movienya lengkap abangkuh,positif,positif
seru banget walaupun nonton iklan terus punya uang lebih bagus banget punya aplikasi buat nonton anime lebih betah diwibuku kayak seru gitu,positif,positif
kali sekali nunggu iklan kunci ditambahin ga cuma kali adminbaik turut sebenernya bagus menit dapet kunci lamaaa kadang suka ngelag besok beli premium biar ga perlu nunggu hehehe,positif,positif
bagustapi gak beli premium,positif,negatif
gak sekali jam iklan,negatif,negatif
iklan rangin buka kunci udah iklan masa mau komen iklan udah kunci mau nonton iklan,negatif,negatif
apk bagus banget dah prem murah,positif,positif
sangat bagus suka banyak pilih anime gratispremiumnya murah,positif,positif
pliss iklan terlalu lama terlalu banyakkkk waktu enak nonton iklan puas banget sekarang banyak iklan,negatif,negatif
apa server ny ganguan trs,negatif,negatif
update mulu anjg simpan dah penuh,negatif,positif
keren,positif,positif
bagus sangat sesuai,positif,positif
cihuyyyy,positif,positif
lope lope lahh buat wibuku apk udh baguss semua mangat buat admin edit jd sering update sih asa kagak yg ubah update apkny,positif,negatif
mantap,positif,positif
masuk aplikasi lama banget login ulang minta tunggu server error update anime terlalu lama aplikasi kuning belah,negatif,negatif
makasih wibuku yaa walaupun nonton iklan dulu buat kunci gapapa lahh hehe makasih makasih,positif,positif
