username,tanggal,bintang,komentar
祖拉蒂夫,2025-05-29,3,"Sabaik nya Iklan nya, D awal atau D akhir vidio saja Supaya tidak ganggu Menonton. Pihak Developer Semoga Memperbaiki Aplikasi nya"
Oka Botak,2025-05-29,5,kualitas bos terlalu op
Dinarta,2025-05-29,4,tolong tambahkan kolom komentar seperti di bstation
GOFAR Mudito,2025-05-29,1,uda bayar premium tpi gada subtitelnya
YUSUP909,2025-05-29,3,semoga ada sub id
Zhendral Fexoz,2025-05-29,3,film Naruto tidak ada bahasa Indonesia nya ya?
Rafli Saputra,2025-05-29,5,lumayan lah langganan nya jg murah tapi KLO gratis iklan nya ke banyakan kalau bisa 3sampe4 iklan aja
Ahmad Riva'i,2025-05-28,5,excellent
Fadd 7,2025-05-28,5,bagus pertahankan
Hady Dawang,2025-05-28,2,"Nyesel langganan d aplikasi ini, subtitle sama dubing nya ga sinkron, subtitle nya ketinggalan."
Agni Aizen,2025-05-28,4,"secara UI/UX kurang modern dan cendrung sederhana, akan lebih baik dibuat lebih modern dan interaktif"
Deva Wardhana,2025-05-28,5,"Untuk Langganan Premiumnya Worth It Banget Saya Ambil Yang Super Fans Itu Beneran Worth It, Gaada Iklan Bisa Di Download Untuk Offline Dan Lain Lain"
Zio,2025-05-28,5,tunggu aku ada duit ya mimin 😀mau beli premium
Rini Anggraini,2025-05-28,3,"saya beri bintang hanya tiga karna banyak banget iklannya,nggak papa sih iklannya sekali tapi 5 sekaligus anjirrrr,kek apasih,kalau mau berlangganan juga nggak punya duit,plis lah ya kalau ada pembaruan lagi iklannya mohon dikurangi,karna mengganggu banget pliss,lagi asik nonton tiba tiba iklan anj,plis ya kalau pembaruan mohon iklannya dikurangi🙏🙏"
andi zhao,2025-05-28,3,"kecewa , banyak anime belum ada sub indo nya"
MR. IMPOSTOR,2025-05-28,1,apk kikir
Neng Luthfah,2025-05-28,1,aplk anying gk bisa bikin akun gua setab kenapa ini
Unconnected,2025-05-28,4,you should give a resolutionoption for the TV app that will be very helpful because if we depend on the internet connection the quality of the video will surely low because most of people don't use cellular data these days especially when they are at home
Frosty,2025-05-28,5,"perbaiki beberapa masalah seperti, saat streaming one piece lalu mendapatkan notifikasi dari aplikasi Dana & Tokopedia selalu terputus atau mengalami gangguan internet, padahal juga kalau lagi main game atau streaming di aplikasi lain gak ada masalah putus koneksi."
MichaelMarada,2025-05-27,1,"sudah berlangganan tapi subtitle nya tidak tepat,subtitle nya terlalu lambat sampe 10 detik jarak subtitle dengan dialog"
Dyeee,2025-05-27,1,nggk lengkap
nabila bila,2025-05-27,1,"ketika saya ingin buat akun selalu tidak bisa padahal email saya benar tapi entah kenapa tidak bisa,mohon diperbaiki.🙏🏻🙏🏻"
Zero Zerooo,2025-05-27,4,ini sangat bagus jdi betah padahal baru download sih hehe masalah utama nya itu bagian setelah iklan ada bug subtitle nya nggak muncul jadi harus tekan pengaturan buat muncul subtitle nya itu aja
Dimas Nurbasori,2025-05-27,1,gimana cara masuknya coba udah dimasukkan namanya terus akun nya terus udah kata sandinya tetep aja ga bisa tolong dong gimana iniiii
Farell,2025-05-27,1,Solo leveling OVERRATED
Raihan Ridho,2025-05-27,4,"tolong kasi subtitle indo nya agar tau apa yg di bicarakan, saya yakin kalo ada subtitle indo apk ini pasti rame"
Rangga Ramadani,2025-05-27,5,gg keren
Irgi Irgi,2025-05-26,1,"jangan didownload terlalu banyak iklan, iklanya bisa sampai 6 itu 30 detik semua apalagi ga bisa diskip."
Irwan Baim,2025-05-26,1,ta bisa login la
Kc Sar,2025-05-26,5,apk nya bagus minusnya harga 1 bulanya sedikit lebih mahal dari pada bstasion
Lightt 47,2025-05-26,5,mantap
Noviyana Sandy,2025-05-26,4,gadak bl ga seru
Toni Iton,2025-05-26,1,"apknya jelek, minta bayar langsung kita uninstall 😁"
nindy cihuyyy,2025-05-26,1,apk cacat
Siti Emiati,2025-05-26,5,mantap walau iklan nya ngeselin
Muhamad Ridho,2025-05-26,5,menurut saya aplikasinya bagus dan juga banyak anime yang bagus2 dan baru tapi ada 1 yang bikin mood saya turun saat menggunakan ini aplikasi yaitu iklan di pertengahan nonton. lagi enak2kan nonton eh tiba2 iklan muncul mana iklannya lama dan juga banyak jadi buat developernya mohon iklannya jangan di taro pertengahan saat nonton mood saya jadi turun apalagi iklannya lama banget
Mochamad Yusuf,2025-05-26,5,sangat bagus sya menyukai
nannaa oliviaa,2025-05-26,3,"banyak iklan jir, 5 iklan sekaligus"
Al achilesz,2025-05-26,1,"nyari anime susah amat , yg di cari apa munculnya apa , mending di apk lain dah , sampah bener crunchyroll"
Muhammad Davindo,2025-05-25,1,gosah iklan di hp gua. ganggu bae lu
R107G,2025-05-25,1,"gw personal sama ni aplikasi, gegara ga sengaja langganan dan duit gw ga dibalikin, mana ga ada confirm dulu lagi langsung narik dari E Wallet"
Ade Ryandi Rahman,2025-05-25,4,Sudah lumayan bagus.
Rafa Ff,2025-05-25,1,Terlalu banyak iklan
Nugroho Amin Ridho,2025-05-25,3,saya langganan premium. untuk CC bahasa Indonesia kadang ada kadang ga tersedia. alternatif harus pakai CC English tp ga semua orang ngerti. please fix it
マリアアリサ,2025-05-25,5,mantap
Mu Asiyah,2025-05-24,1,rahisi login cokkk
LBN Rafik,2025-05-24,1,nyoba download anime nya gk lengkap berak
Rapialazi Yal,2025-05-24,5,hah kromohitsho shuneh 🗿
GENOVAL DIMAS SAPUTRO,2025-05-24,1,apk sampah
Vanitas,2025-05-24,1,kirainn ada Donghua nya awokwok ga jadi meskipun di kasih Prem gratis kayak gua ga mampu beli aja uninstall
LEON ABDUL,2025-05-24,5,aplikasi bagus menyediakan banyak anime semoga tidak seperti netflix banyak anime dan film bagus yg malah di hapus semoga Crunchyroll bisa mempertahankan anime nya
Warna Warni,2025-05-24,1,SAYA MW BUAT AKUN DISURUH PAKE EMAIL GAK BISA MASUK PADAHAL EMAIL NYA UDH BENER? KENAPA INI MOHON JELASKAN
ALKHALIFI ZIKKRI HADI,2025-05-24,1,harus bayar jir padahal ada uji coba gratis malah pas download di suruh bayar
Hugo13 Mirakeljaya,2025-05-24,5,wow amazing
Memeq Ajah,2025-05-24,1,"apaan ini,keras bat makan paket,baru beli 35 GB,udh sisa 11 GB aja anjir,padahal masih tiga hari belinya"
Asa Family81,2025-05-24,5,bisa lihat blue lock
Nazril At,2025-05-24,5,keren
Eka.A Erlinda,2025-05-23,1,"di tagih Mulu udah tau gak pakai pembayaran berlangganan,,mang agak ngeselin"
Man Dari,2025-05-23,1,dasar apk gak jelas
si kecil,2025-05-23,3,"cc nya gk lengkap, banyak anime yg gk ada cc indo seperti Naruto dll"
Mohamad Darda,2025-05-23,2,Terlalu Banyak iklan min🙏
Anton G4,2025-05-23,5,keren
Zaki Alhidra,2025-05-23,5,bagus dan bisa ditonton pakai bahasa Indonesia cuman anime nya kurang lengkap mohon dilengkapi lagi ya👍
Muhammad Hasan,2025-05-23,3,"cepat banget abis kuota nonton di aplikasi ini, baru juga dua jam udah abis 3 GB, 😔 harus isi kuota lagi deh😭"
Elin Serlinna,2025-05-23,1,ga bisa masuk padahal sandi udah bener udah coba berkali-kali tetep ga bisa
Zaidan Kece parah,2025-05-23,5,mantab
Rapi Akatsuki,2025-05-23,1,saat tau kalo mau nonton harus premium langsung saya hapus
Angga Pshtterate,2025-05-23,1,semua bayar
Axel Lumempouw,2025-05-22,5,mantap
Akbar Wiguna,2025-05-22,5,lumayan tingkatkan terus
Pipit Amelia,2025-05-22,4,"bagus tapi kadang subtitle indonya tidak tersedia di beberapa episode, meskipun bisa pake sub English tapi tetep paling nyaman sub indo:)"
R-TMblu,2025-05-22,2,tidak ada CC bahasa Indonesia nya jadu kurang paham teks nya.
imc digitalbfi10,2025-05-21,1,banyak sekali iklan saya mohon untuk hapud iklan minimal iklannya bisa di skip saya nonton ada iklan 30 detik dan gak bisa di skil lagi saya mohon permasalahannya hanya iklan saya tidak nyaman menonton
Wisnu Wibowo,2025-05-21,1,apasih ga bisa daftar anj
geralldi,2025-05-21,5,Bagus tapi data kekuras banget
Rafa Rizqullah,2025-05-21,5,gratis menonton
Anang Nugraha,2025-05-21,2,iklan tidak ramah
tobat,2025-05-21,4,keren
Ares Anasfi,2025-05-21,1,klw login gak bisa pake akun di aplikasi lain:(
Aditia Maulana,2025-05-21,1,asuu inii bukan apk nonton anime melainkan nonton iklan anime terus setiap episode bagus selalu premium kebanyakan iklan tapi minta bayaran premium gimana sih mending kayak apk sebelah animeindo lebih bagus iklan sedikit tapii sekarang sudah tidak adaa di play store
Memey Milan,2025-05-21,3,keren asli
Ferii Syahputraa,2025-05-21,1,banyak kali premium nya auto unistal
Gundul Pacul,2025-05-21,2,gak semua anime nya ada sub Indonesia
Elek,2025-05-20,1,"apk nonton anime paling ga lengkap yg pernah ada , sekelas anime big 3 aja loh ga lengkap bleach ga ada,movie anime lain jg g ada mending nonton bajakan🤦"
Karzeo Rihato,2025-05-20,1,"agak kecewa sih soalnya tadi pas liat iklan, audionya bisa semua bahasa pas udah di download malah audionya cuma bisa jepang, inggris, Thailand"
Kingkong,2025-05-20,1,Udah masukin sandi imel juga bener malah GK bisa apk jelek
Ahmad Amek,2025-05-20,5,👌
ANDREW,2025-05-20,1,pengen nonton one piece eps nya premium semua
Ghazali Al,2025-05-20,5,ini sudah baguss tapi tolong yang premium jangan di kasih ke anime soal ganggu kita lagi enak enak nonton anime pas mau ganti episode pasti ada premium nya
Sutomo Tomo,2025-05-20,1,nguras kuotanya besar
Victor _Siwoo,2025-05-20,1,gak bisa login padahal dah bener. aku kasih bintang 1 ajs
Aa Cie,2025-05-20,3,gak lengkap
Rama,2025-05-20,2,dub indo cuma 5% doang
Akbar Ilham Fadillah,2025-05-19,1,iklan teross
Irul Rul,2025-05-19,4,oke
Msda Manis,2025-05-19,5,"aplikasi nya udah bagus banget ini, cuma nonton iklan bisa nonton anime bagus bagus tapi kurang lengkap aja anime nya, ditunggu update nya🤭"
AFira zaFira,2025-05-19,5,Seruu banget
M ragil Julianto,2025-05-19,1,susah buat masuk ke app nya ngedaftar nya susah perbaiki njiengg
Riski 02 R,2025-05-19,5,keren
Gadis Gemini,2025-05-18,5,bagus
Bawadahewak,2025-05-18,5,"gaada sub indo? gw mah lancar inggris 😎. Makanya belajar bahasa inggris wak, gaada ruginya"
Danish Amsyar 2,2025-05-18,4,"halo kak. saya sudah mendownload aplikasi Crunchyroll kakak. aplikasi nya bagus dan ada dubbing indo nya juga. hanya satu hal yang jadi masalah. yaitu animenya yang kurang lengkap dan sedikit error. contohnya saya mencari anime di web dengan tambahan nama aplikasi Crunchyroll. ada link nya tapi saat masuk gak ada dan tertulis ""konten tidak tersedia"". tolong ditambahkan atau dipulihkan lagi anime nya yang kurang atau di hapus. itu saja kak masukan saya. sekian."
Fefen Riski Akbar,2025-05-18,1,kebanyakan iklan di YouTube
Ra Wr,2025-05-18,3,"padahal sandi sama akun nya udah bener tapi kenapa tulisan nya ""tidak valid""???!"
Yosi Sukaesih,2025-05-18,2,"gimana cara nontonya?? pas di clik animenya harus premium dulu bah, kek mana nih"
Ardy Hamiz,2025-05-18,1,title nya telat ga asik padahal udah laporkan masalah
Aryedy Santoso,2025-05-18,1,kenapa anime yang saya cari tidak ada? padahal sebelumnya ada dan gak mungkin kalo di hapus ama Crunchyroll soalnya ini anime rame. mohon bantuannya🙏
Yo Ya,2025-05-17,5,ini saya kasih bintang 5 supaya ada di atas komen ini sih GK rekomendasi apk harus premium dlu baru bisa nonton GK jelas Kataya gratis tapi harus bayar
Raka Aditya putra,2025-05-17,1,apk apa apa harus premium
kepet kepetmencret83,2025-05-17,5,bagus
Andi Almeera,2025-05-17,5,bagussssss minnusnya iklan banyak
Axel Marrik Dionez Prabowo,2025-05-17,5,aplikasi ini sangat bagus jarang ada iklan saya makin suka sama aplikasi ini berguna untuk nonton anime
Ahmad Ito,2025-05-17,1,"apk ga jelas, afk sampah di jual"
Chalvia Farra,2025-05-17,1,"APLIKASI PENIPUAN Setelah daftar pakai akun google dan pass, tidak bisa di akses. HATI2 yg mau download apk ini, mereka hanya mau data kita."
Gading Nih genk,2025-05-17,1,Ribet
likemike yudhy,2025-05-17,1,"The Indonesian subtitles are not updated, and some aren't even available in the Indonesian region… this app is a joke."
Asep santana,2025-05-17,5,keren
Shayla Kencana23,2025-05-17,5,bagus
Gracio Setiawan,2025-05-17,1,udah bener masukin kode masi g bisa login
edi kav,2025-05-17,3,jelek
Ratna Komalasari,2025-05-17,1,gimana sih aku nonton solo leveling sampe s2 e13 malah pake premium adehh
Muhammad Fadlan,2025-05-17,1,saya GK berlangganan cm iklannya sih GK masalah cm ini iklannya malah stuck jadinya GK bisa ditonton lu mau gw cm liat iklannya doang kalo dipaksa beli langganan ya jangan di paksa GK dikasih tontonan jem**t
Brqq Jago,2025-05-17,5,tolong admin untuk anime Naruto Shippuden di kasih subtitle Indonesia agar orang Indonesia bisa menonton🙏🏻🙏🏻🙏🏻
Pixy 01,2025-05-16,1,woy ngent apk ngent tolong balikin pulsa gw yang tersedot
Izzan Abilie,2025-05-16,2,sebenernya aplikasinya bagus tapi hanya untuk yang premium kalau yang gratisan banyak iklannya ditengah video
Ali Akbar,2025-05-16,1,jelek
Nur Talita,2025-05-16,4,baru mau nonton tapi udah 3kali iklannya lewT
Muhammad Ayub,2025-05-16,4,legal apa ilegal?
GALAXI ANAN,2025-05-16,4,banyakin subtitle Indonesia
Fatur Rahman Malik,2025-05-16,1,Tidak bisa login padahal email dan sandi sudah benar
Rahayu Susanto,2025-05-15,2,takarir bahasa indonesia nya terbatas kurang asik nonton nya
Syukri Cahya Parjaman,2025-05-15,5,ngotak dikit ngasih iklan masa sampai 6 iklan durasi 1 iklannya 30 detik lagi
Arifin Marpaung,2025-05-15,1,apa-apaan nihh aplikasi masa semua dibikin premium mana series narutonya gak lengkap lagi pake premium segala.Pokoknya jangan didownload dahh biar gak nyesel
Ammar Syah Roif,2025-05-15,4,"It's great but the HUD is very catchy and bright, also there aren't any options to video's watch speed."
Azril Prayoga,2025-05-15,1,1 vidio 100 iklan padahal cuman pengen ngeskip menit langsung iklan gila GG sih nih aplikasi nonton nih di aplikasi kek nonton iklan bukan anime njr
Rialdi Syahputra,2025-05-15,1,aplikasi jelek ribet
Musallim,2025-05-15,1,"alpikasi berbayar ga usah donwload, cuma isa nonton anime doang donghua ngak bisa"
Ujik Kurniawan,2025-05-15,5,"tolong tambahkan seri anime jaman dulu jangan anime yang baru baru doang contohnya seperti anime lawas yaitu Inuyasha,bakugan, Beyblade,crush. gear"
Dandi Nugraha,2025-05-14,1,"Sampahh min delay terus premium udah, pake wifi udah, resolusi gede nge lag teruss percuma 1080 bertuliskan HD ttep ae buriq"
Kenzy Zy,2025-05-14,5,mantap
Farhan Aristio,2025-05-14,1,absolut iklan
Ardhona Nurrohmadon,2025-05-14,5,mantap
Ibnu Ubaid,2025-05-14,4,"banyak patah"" nya pas nnton dan itu bukan buffering video padahal jaringan wifi aman"
Ziza Mutiara Bilqis,2025-05-14,1,"jelek parahhh, banyak bug 😒"
Sulaimatur Radiah,2025-05-14,1,"baru download apk ini. pas mau nonton pertama kali dari sebelum film mulai aja sudah ada iklan 3x(durasi 30detik semua, gabisa di skip), setelah itu film baru jalan kurang dari semenit sudah muncul iklan lagi🙏🙏 4x(30detik semua, dan gabisa di skip) kapok gw, mending apk sebelah kalo gini mah"
Joito Siallagan,2025-05-14,5,Tolong buatkan dubbing dan subtitle indonesia..karena banyak penonton dari indonesia
R?,2025-05-14,3,kurang lengkap animenya
Ady Sanjaya,2025-05-14,1,iklan numpuk banget anj bisa sampe 20 lebih iklan 1 video
Malinda Dwi Septian,2025-05-14,4,"untuk saat ini berjalan dengan baik, hnya saja ada biasanya cc nya agak lebih lambat sedikit jika sinyalnya tidak stabil"
Ilham Parid,2025-05-14,4,"Bagus sih bagus, cuman rare banget sub indo apa lagi dub indo, kayaknya mereka masih mikir pasar asia tenggara gak bikin untung gede, tapi semoga mereka sadar rilis di PlayStore indo artinya juga kudu sub indo, jangan malah nyombongin punya banyak lisensi anime, percuma kalau subtitle sama dub gak lengkap"
G - A,2025-05-14,5,mantap
Harly Bhaal,2025-05-13,5,mntapp..
Nayaka Abymanyu,2025-05-13,1,apk ga ngotak
Winda Winda,2025-05-13,2,"di gw ga lengkap woii??ga ad link click, cells at work dkk. gimane ni tlong di perbaiki"
Dafa Dzakira,2025-05-13,5,(ingat ga ad anime genre h) bagus lek
bocil Neeww,2025-05-13,5,TERBAIK SIH LENGKAP JUGA GAK KAYA SEBELAH🗿🙏
shadow Kun,2025-05-13,5,bagus
Rafael muhammad,2025-05-13,1,"ni aplikasi cocok sih buat yang gak kepengen nonton anime secara ilegal, tapi minimal ngasih iklan ngotak dikit napa, masa udah iklan diawal nonton, eh baru jalan 2 menit iklan lagi, udah gitu terus terusan lagi iklan nya muncul, pantes aja banyak yang nonton anime diaplikasi sebelah daripada diaplikasi ini, iklannya gak ngotak, minimal iklan itu dibatasin aja, yakali tontonan utama kita iklan mulu, dikit dikit iklan"
Iyan Mas,2025-05-13,1,terlalu banyak iklan
Muin Warkop,2025-05-13,4,gak ada yosuga no sora 😐
DODY PRATAMA,2025-05-12,5,"udah mantap nih, tinggal subtitle Indonesia nya biar ga bingung"
Valino Rakka,2025-05-12,1,kalau ngasi subtitle yang bener dikit napa subtitle nya campur campur ama episode yang lain
Riyan Riyan,2025-05-12,1,"I know you won but there are too many ads, try to at least put the fish at the end or beginning of the video, otherwise it will drain people's internet, sorry I gave it 1 star, it's better"
Fitri Bunda Amar,2025-05-12,5,Bagus banget appnya
kevin,2025-05-12,3,tambahin bahasa Indonesia lebih banyak dung saya ga bisa.bahasa.inggris jadi mikir dua kali mau berlangganan premium 💌 smoga aplikasi ini jadi aplikasi raksasa dan makin bagus ....
Geoffrey Raditya,2025-05-12,4,aplikasinyasih bagus banyak video anime yang bisa di tonton tapi kok ngak ada anime gate jieitai kanochi nite kaku tatakaeri?
BUYNONXZ11,2025-05-12,1,"apk dongo apus aja, episode dikit sok sok an minta Prem perbaiki dulu tuh apk baru minta Prem preman nya 🤭"
Taman Suryo Kusumo,2025-05-12,2,gak lengkap anime nya
Fadlan Abdillah,2025-05-12,3,gk lengkap
Anime Tv,2025-05-12,5,"ini gila!!,dengan ini aku bisa nonton anime dengan mudah:)"
Rozak Anazami,2025-05-11,1,ada beberapa film anime yg gaada sub indo padahal udh bayar premium tapi ga punya sub indo kecewa bgt
Danil Danil,2025-05-11,5,nice mantapp
Fahmizikkyn,2025-05-11,4,"sediakan fitur chat,post,border avatar khusus dan komentar itu akan lebih baik"
Great One,2025-05-11,1,"dub nya gak sesuai gitu brok, rugi bayar dong apk ampas gini"
Uchiha Fanzz,2025-05-11,4,ini apk legal kah?🗿
Anindya eka Putri,2025-05-11,1,"gak ada sub indo nya, terus premiumnya gak bisa dibatalin, jadi nyesel udah premium mana lumayan lagi harganya bisa buat beli yang lain, sayang banget kalo kayak gini. dan banyak yang enggak lengkap 😭😌"
ABDUL MUN'IM,2025-05-11,5,lumayan
Lucky Aditya,2025-05-11,3,"semuanya sudah bagus, tpi tolong kurangi iklannya karna itu sangat banyak sekali. dalam satu vid saja sya rasa bisa sampai belasan atau puluhan iklan yg saya tonton dan itu sangan membuang-buang waktu"
Rizki Permadi,2025-05-11,5,untuk TV ini sangat bagus
Azis Gagap,2025-05-11,5,bagus
Erwin Darwis Pelasula,2025-05-11,1,Berhenti Berlangganan mnta penghapusan aplikasi ini
Wawan Gunawan,2025-05-11,1,uang saya 33.000ribu hilang kepotong oleh aplikasi ini padahal saya belum download sama sekali
Tawoon Vespa,2025-05-10,1,tolong kurangi iklan nya
Diki Kurniawan,2025-05-10,1,"kebanyakan iklan, kikirnya kelewatan. Kesenjangan antara VIP dan gratisannya kerasa bngt"
Zaenal. Ihwan,2025-05-10,2,"sub nya masih ada yg berantakan, tolong segera di perbaiki min."
Mysilla Cinta Ramadhani,2025-05-10,1,"ga bisa di buka,udh nunggu lama pdhl"
M.susi Susilawati,2025-05-10,1,"sangat buruk jangan dowload, meninggal pakee bstation aja"
DeRefvy DeRefvy,2025-05-10,4,ke banyakan iklan tapi emang si banyak iklan kerana ga permium.tapi emang sebanyak itu kah iklan nya 1-6
Anak Anjim,2025-05-10,5,kasih sub indo dong
Abdi Wicaksono,2025-05-10,5,Gg nih aplikasi wibu
Handa,2025-05-10,5,keren banget aplikasi ini anime terbaru selalu update terima kasih 😘💕
Zer Ouch,2025-05-10,1,murah tapi pelit ke negara lain anime kurang lengkap wajib pake vpn tapi kalo pake vpn malah ke banned
Jjwk,2025-05-10,1,subtitle nya Ngebug tolong di perbaiki
dezstrasyaugheaa,2025-05-10,1,Kebanyakan PREMIUM ALAHH MENDING NONTON ANIME DI SEBELAH AJA WOE
acengsm Rezzs,2025-05-10,2,keren
Ameliaputri Modeong,2025-05-10,5,bgus
Ratih,2025-05-09,1,ga jelas ga bisa bikin akun
Bang Koboys,2025-05-09,4,bagus
Zalika Aprilla,2025-05-09,1,"apk taaiiikk ,gak bisa login"
Vincent z 14 gaming,2025-05-09,1,kenapa duit saya ke isi ke sini 34 rb padahal gak di download kembalikan
F4DlaN,2025-05-09,1,"masa dana gw kepake tiba tiba di langganan ni apk, parah bgt kebayar otomatis skrg lagi minta pengembalian butuh 1-4 hari buang buang waktu jelek banget ni aplikasi minimal jangan otomatis baya langganan lah harus ada persetujuan dulu"
Yudha Yudha,2025-05-09,1,kenapa saya tidak bisa membuat akun?
maulana lana,2025-05-09,1,one piece nya ga lengkap
Sefti Rahmadani,2025-05-09,5,sangat keren
aisyah lahambu,2025-05-09,3,"banyak iklan, iya sih gratis tpi banyak iklan pdhal cmn nge skip dikit udh iklann lama lam gw cmn nonton iklan dripda anime"
Mang Adek,2025-05-08,1,Aplikasinya Sudah Bagus Cuman Pilihan Anime Untuk Sub Indonesia Sangat Sedikit Jadi buat tidak langganan VIP Awalnya Tertarik Buat Langganan VIP karna pilihan animenya sangat banyak tapi ternyata pilihan sub indonesia sangat sedikit itupun adanya di anime lama di anime terbaru tidak ada pilihan sub indonesia tolong dong buat semua anime dikasi sub indonesia
Helmi Sirajuddin,2025-05-08,1,"jelek harus premium mulu, setidak nya kalau iklan juga jgn terlalu banyak , ga akan banyak penguna nya kalau gini apk nya harus premium mah, hapus aja ga guna"
Sopi Riswanto,2025-05-08,1,kagak ada yg geratis
jeryy Jeryy,2025-05-08,1,gak bisa masuk ke akun ku gak gunanya
hasan sukur,2025-05-08,1,masa ngak ada pokemon
pemburu film,2025-05-08,3,"saat menonton kualitas grafis sering berpindah pindah sendiri dari tinggi ke sedang sampai rendah atau sebaliknya, tolong segera diperbaiki"
rania zafira,2025-05-08,1,gausa di download premium semua sama GK lengkap poke
ahmad Alfarizi,2025-05-08,1,gabisa di download
kalvin KS,2025-05-08,3,kurang lengkap cuman ada anime anime zaman sekarang anime jadul tidak ada
Al Fwreza,2025-05-08,5,bagus
Muhammad Zaghlul,2025-05-08,1,aplikasi gak jelas berlangganan aja duitnya langsung kesedot bukannya ada apa apa
Aswa mustawa,2025-05-08,2,"takarirnya benerin woiilahh,pas upload gak di cek lagi apa gimana dah???🙏🏼"
Daffa Rizki Agatha,2025-05-08,1,iklannya bener bener banyak banget bisa ga dibikin iklan nya jangan sampe 6 kali cukup satu gapapa iklannya 3 kali asal cuma 1 iklan jangan sampe 6 jadi kasian yang nonton gratis kalo bisa dikasih keringanan dikit buat yang gratisan sama itu juga subtitle ada beberapa anime yang ga ada bahasa Indonesia jadi yang cuma ngerti bahasa Indonesia cuma plenga plengo saya harap aplikasi ini bisa diperbaiki
Maden,2025-05-08,1,"tolong petbaiki masalah subtitle delay, percuma langganan kalau kayak gini truss"
saiful only,2025-05-07,1,"Apabila kalian Pengguna Gratisan,jangan menggunakan Aplikasi ini,Selain Iklannya banyak minta ampun,Sehabis Iklan, subtitle bisa tidak ada,kecuali di jeda dulu."
AKUN FF,2025-05-07,1,gk bisa buat akun atau masuk langsung
Irfan Kustiono,2025-05-07,3,haduh minnn saya nonton dikit dikit premium buruk banget tapi saya suka terus iklan nya banyak! lama juga! perbaiki lagi ya min saya tetep suka kok👍🏻
Abid Alfatonah,2025-05-07,5,bagus tapi bisa gak iklan nya dikurangin
Junaidin Juuna,2025-05-07,1,trima kasi atas aplikasi nya anda membuat saya jadi lebih gampang mencari flm kesukaan syah trima kasi atas aplikasinya
Joko Pitono,2025-05-07,5,sangat menakjupkan🤩🤩
Nur Rohman,2025-05-07,3,"gak ada anime ""isekai Quartet"" padahal mau nonton"
Redheadtoad,2025-05-07,5,nice
Chello Kusuma,2025-05-07,5,aplikasi bagus dan seru
Rifki Buras,2025-05-07,5,walaupun gra tis tapi banyak iklan tapi seru desainya unik
Ikiy Yy,2025-05-07,1,"aplikasi gak jelas udah dimasukin sandi yang benar tetep aja salah, kata saya sampai aku ubah demi aplikasi ini sama aja"
Anisa Palewa,2025-05-06,1,jangan main potong aja saldo dana gua ke potong
R.B D_ MAMIKS,2025-05-06,1,terlalu banyak yang mode premium (bayar) iklannya segudang lagi .... di tambah kurang update
Sri utami Sri,2025-05-06,3,"tambahin lagi anime nya, soalnya banyak anime yang gak ada, selain itu sih udah bagus 😄"
Mr. creeper,2025-05-06,5,free seminggu horee
ameera humaira,2025-05-06,4,nih aplikasi kalo bisa nonton kartun keren sih
Imam akbar Fadilah00,2025-05-06,5,👍👍👍👍👍👍👍👍👍👍👍👍
budi santoso,2025-05-06,5,bagùs aplikasi untuk streaming anime film
Arifin 93,2025-05-06,1,apk parah nyedot kuota nya ga kira² 1 eps blom habis. sudah nyedot data 2gb lebih
Thomas Hartanto,2025-05-06,5,Akhirnya lengkap juga koleksi animenya untuk region indonesia. Langsung subscribe! 👍
Hafiz. Gzx,2025-05-05,1,"jangan mau di bodohin teman teman aplikasinya berbayar? kalau mau aplikasi gk berbar tanyak aja ama aku, cmiwww"
Rudiaprianto Rudiaprianto,2025-05-05,3,b aja menurut gua
Bagas Saputra,2025-05-05,5,bagus
Lesmana Tris,2025-05-05,3,"aplikasinya bagus tapi subtittle nya ko g ada bahasa indonesia nya,padahal pengaturan sudah d ubah,aga nyesel juga udh berlangganan tolong d perbaiki tar bintangnya d tambah lagi,makasi"
Zidan Malik,2025-05-05,1,gajelas gabisa ganti usia
Muh.Fajrin Akbar,2025-05-05,1,terlalu banyak iklan dalam 1 video dan masih banyak anime yang tidak ada subtitle Indonesia
Luthfi Musyaffa,2025-05-04,5,Bagus..
Syahril Sabirin mubarok,2025-05-04,1,omong kosong apa bayar
Erik Adi,2025-05-04,2,ya ampun anime kebanyakan premium memang harga nya murah tapi saya malas membeli
Fazri Sobbirin,2025-05-04,1,anj*** buat akun aja gabisa
Razes 123,2025-05-04,5,baguss
Otes,2025-05-04,1,hampir semua anime butuh premium 👎
Iffah Syla,2025-05-04,5,bagus
Boboboy Fahri,2025-05-04,5,wow
simizu real,2025-05-04,1,"is iklanya di diemin enak bngt geber terus iklan, mana stiap ganti ke 10dtk iklan"
afnan izzulhaq,2025-05-04,1,"aplikasi apa ini. kalok naruh iklan ngotak dikit dong jangan 6 iklan dan semuanya 30 detik mana ngelag lagi. wifi saya sudah kenceng tapi kalau iklan ngelag padahal jika dibuat nonton anim lancar jaya. iklan tu 15-20 detik lah dan 1 aja atau mentok² 2 biar ga kelamaan. yang lagganan premium uda banyak tuh, saingan uda ketinggalan jauh, aplikasi uda mendunia terus kenapa masih masang iklan banyak? masih kurang kah duit kalian?"
Kealzz,2025-05-04,4,mau nonton kaguya sama love is war malah gda🥲
Rizky Tanjung123,2025-05-04,1,belum juga nonton udh di suruh beli premium haduh sangat mengecewakan
